,circuits,Technology,Period,frequency,cell_count,cell_area(um^2),netarea ,total_area(um^2),critical_slack_(ns)
ArrayMAC,GEMM_1x2_32,16n,1ns,1 GHz,24653,3727,3059,6786,0.043 
,GEMM_1x4_32,16n,1ns,1 GHz,49312,7464,6118,13582,0.081
,GEMM_1x8_32,16n,1ns,1 GHz,98665,14918,12238,27156,0.08
,GEMM_1x16_32,16n,1ns,1 GHz,201323,30181,24689,54871,0.072
,,,,,,,,,
Butterfly,Bfly_2,16n,1ns,1 GHz,4353,648,522,1171,0.154
,Bfly_4,16n,1ns,1 GHz,22894,3573,2515,6088,0.156
,Bfly_8,16n,1ns,1 GHz,82651,13074,8972,22047,0.156
,Bfly_16,16n,1ns,1 GHz,247746,39127,26928,66056,0.062
,,,,,,,,,
Pad,PadUnit_sw2_64,16n,1ns,1 GHz,19472,3268,2129,5398,0.268
,PadUnit_sw4_64,16n,1ns,1 GHz,38980,6552,4287,10839,0.244
,PadUnit_sw8_64,16n,1ns,1 GHz,78386,13141,8735,21877,0.232
,PadUnit_s16_64,16n,1ns,1 GHz,166946,26881,18726,45608,0.115
,,,,,,,,,
Permute,PermuteUnit_sw2_64,16n,1ns,1 GHz,21495,3655,2351,6007,0.272
,PermuteUnit_sw4_64,16n,1ns,1 GHz,21482,3632,2369,6002,0.274
,PermuteUnit_sw8_64,16n,1ns,1 GHz,21458,3659,2414,6073,0.085
,PermuteUnit_sw16_64,16n,1ns,1 GHz,21658,3731,2527,6259,0.006
,,,,,,,,,
Scatter-Gather,AddressingUnit_sw2_64,16n,1ns,1 GHz,419,57.2,53.5,110,0.323
,AddressingUnit_sw4_64,16n,1ns,1 GHz,506,85,65,150,0.345
,AddressingUnit_sw8_64,16n,1ns,1 GHz,764,144,100,244,0.347
,AddressingUnit_sw16_64,16n,1ns,1 GHz,1323,268,177,446,0.336
,,,,,,,,,
TRSM(128x128),TRSM_sw2_32,16n,1ns,1 GHz,5712438,965659,609839,1576499,0.048
,TRSM_sw4_32,16n,1ns,1 GHz,5778523,974389,616689,1591078,0.059
,TRSM_sw8_32,16n,1ns,1 GHz,5841591,989645,626138,1615783,0.057
,TRSM_sw16_32,16n,1ns,1 GHz,6194009,1045273,660639,1705913,0.048
,,,,,,,,,
TRSM(128x16),TRSM_128x16_sw2_32�,16n,1ns,1 GHz,597320,100532,62991,163524,0.059
,TRSM_128x16_sw4_32�,16n,1ns,1 GHz,631370,107332,66586,173918,0.059
,TRSM_128x16_sw8_32�,16n,1ns,1 GHz,719180,123267,74809,198077,0.073
,TRSM_128x16_sw16_32�,16n,1ns,1 GHz,873083,152459,89955,242414,0.059
