circuits,Technology,Period,frequency,cell_count,cell_area(um^2),netarea,total_area(um^2),critical_slack_(ns)
Flexible_MixedFFT_N64_K6_P11_B1_SW2_NOROM,16nm,2,500 MHz,601579,99655,64749,164405,0.662
Flexible_MixedFFT_N64_K6_P11_B1_SW4_NOROM,16nm,2,500 MHz,643185,106681,69663,176344,0.649
Flexible_MixedFFT_N64_K6_P11_B2_SW2_NOROM,16nm,2,500 MHz,1069425,178347,114805,293152,0.662
Flexible_MixedFFT_N64_K6_P11_B2_SW4_NOROM,16nm,2,500 MHz,1171835,193902,126004,319907,0.662
Flexible_MixedFFT_N64_K6_P11_B1_SW2,16nm,2,500 MHz,625213,102419,68052,170471,0.378
Flexible_MixedFFT_N64_K6_P11_B1_SW4,16nm,2,500 MHz,703963,114013,77533,191547,0.378
Flexible_MixedFFT_N64_K6_P11_B2_SW2,16nm,2,500 MHz,1093450,180972,118116,299088,0.378
Flexible_MixedFFT_N64_K6_P11_B2_SW4,16nm,2,500 MHz,1238973,204750,134968,339719,0.378
Iterative_MixedFFT96_sw2,16nm,2,500 MHz,516108,82859,56867,139727,0.378
Iterative_MixedFFT96_sw4,16nm,2,500 MHz,579493,91925,64631,156556,0.378
Iterative_MixedFFT96_sw8,16nm,2,500 MHz,706982,110401,80542,190944,0.378
Iterative_MixedFFT96_sw16,16nm,2,500 MHz,951111,145929,110411,256341,0.378
Streaming_FFT96_sw2,16nm,2,500 MHz,326405,52588,35891,88480,0.378
Streaming_FFT96_sw4,16nm,2,500 MHz,431615,68874,47874,116740,0.333
Streaming_FFT96_sw8,16nm,2,500 MHz,636394,100085,70919,171005,0.378
Streaming_FFT96_sw16,16nm,2,500 MHz,1024391,160314,114353,274668,0.38
